
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 2198 | Violations: 18
ABC Iteration 31/100 | Best Fitness: 1576 | Violations: 27
ABC Iteration 32/100 | Best Fitness: 1469 | Violations: 27
ABC Iteration 33/100 | Best Fitness: 1469 | Violations: 27
ABC Iteration 34/100 | Best Fitness: 1369 | Violations: 27
ABC Iteration 35/100 | Best Fitness: 1369 | Violations: 27
ABC Iteration 36/100 | Best Fitness: 1369 | Violations: 27
ABC Iteration 37/100 | Best Fitness: 1361 | Violations: 27
ABC Iteration 38/100 | Best Fitness: 1361 | Violations: 27
ABC Iteration 39/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 40/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 41/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 42/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 43/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 44/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 45/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 46/100 | Best Fitness: 1261 | Violations: 27
ABC Iteration 47/100 | Best Fitness: 1161 | Violations: 27
ABC Iteration 48/100 | Best Fitness: 1161 | Violations: 27
ABC Iteration 49/100 | Best Fitness: 1161 | Violations: 27
ABC Iteration 50/100 | Best Fitness: 1155 | Violations: 27
ABC Iteration 51/100 | Best Fitness: 1155 | Violations: 27
ABC Iteration 52/100 | Best Fitness: 1155 | Violations: 27
ABC Iteration 53/100 | Best Fitness: 1155 | Violations: 27
ABC Iteration 54/100 | Best Fitness: 1155 | Violations: 27
ABC Iteration 55/100 | Best Fitness: 955 | Violations: 27
ABC Iteration 56/100 | Best Fitness: 955 | Violations: 27
ABC Iteration 57/100 | Best Fitness: 855 | Violations: 27
ABC Iteration 58/100 | Best Fitness: 855 | Violations: 27
ABC Iteration 59/100 | Best Fitness: 847 | Violations: 27
ABC Iteration 60/100 | Best Fitness: 847 | Violations: 27
ABC Iteration 61/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 62/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 63/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 64/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 65/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 66/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 67/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 68/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 69/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 70/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 71/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 72/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 73/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 74/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 75/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 76/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 77/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 78/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 79/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 80/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 81/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 82/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 83/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 84/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 85/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 86/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 87/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 88/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 89/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 90/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 91/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 92/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 93/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 94/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 95/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 96/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 97/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 98/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 99/100 | Best Fitness: 747 | Violations: 27
ABC Iteration 100/100 | Best Fitness: 747 | Violations: 27

--- ABC Run Finished ---
Final Best Fitness: 747
Final Hard Constraint Violations: 4
